pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00492223,"",D000000125,General Electric,87200,39500,47700,2018-04-16 00:00:00 +0000,1,x,"",0,D000000125
C00303024,"",D000000104,Lockheed Martin,81700,25000,56700,2018-04-16 00:00:00 +0000,2,x,"",0,D000000104
C00432856,"",D000000245,MacAndrews & Forbes,78400,30000,48400,2018-04-16 00:00:00 +0000,3,x,"",0,D000000245
C00278895,"",D000022145,"Nelson, Mullins et al",67686,25000,42686,2018-04-16 00:00:00 +0000,4,"",x,1,D000022145
C00142711,"",D000000100,Boeing Co,61293,29000,32293,2018-04-16 00:00:00 +0000,5,x,"",0,D000000100
C00064774,"",D000000321,NextEra Energy,49600,4500,45100,2018-04-16 00:00:00 +0000,6,"","",0,""
C00337626,"",D000000106,Morgan Stanley,47500,5000,42500,2018-04-16 00:00:00 +0000,7,"","",0,""
"","","",RDL Inc,47200,0,47200,2018-04-16 00:00:00 +0000,8,"","",0,""
C00097568,"",D000000175,Raytheon Co,43200,38000,5200,2018-04-16 00:00:00 +0000,9,x,"",1,D000000175
"","",D000021972,Elliott Management,42300,0,42300,2018-04-16 00:00:00 +0000,10,"","",0,""
C00104885,"",D000032528,Chicago Bridge & Iron,41100,38500,2600,2018-04-16 00:00:00 +0000,11,x,"",0,D000032528
C00088591,"",D000000170,Northrop Grumman,38000,38000,0,2018-04-16 00:00:00 +0000,12,x,"",0,D000000170
C00034132,"",D000000277,Fluor Corp,37501,19500,18001,2018-04-16 00:00:00 +0000,13,x,"",2,D000000277
"","",D000000109,Blue Cross/Blue Shield,37450,27500,9950,2018-04-16 00:00:00 +0000,14,x,"",0,D000000109
C00144774,"",D000000168,Southern Co,35500,35500,0,2018-04-16 00:00:00 +0000,15,x,"",0,D000000168
C00089136,"",D000000067,Altria Group,35100,30000,5100,2018-04-16 00:00:00 +0000,16,x,"",0,D000000067
"","",D000068981,Woodbranch Investments,35000,0,35000,2018-04-16 00:00:00 +0000,17,"","",0,""
C00064766,"",D000000081,United Parcel Service,34800,34800,0,2018-04-16 00:00:00 +0000,18,x,"",1,D000000081
C00163832,"",D000000148,CSX Corp,33500,32500,1000,2018-04-16 00:00:00 +0000,19,x,"",0,D000000148
"","",D000061600,"Harrison, White et al",33416,0,33416,2018-04-16 00:00:00 +0000,20,"","",0,""
